machine_id,avg_temperature,avg_vibration,avg_energy_consumption,actual_maintenance_rate,predicted_maintenance_rate,avg_maintenance_probability,maintenance_risk
1,74.86335594989562,50.34434237995824,2.730073068893528,20.354906054279752,18.319415448851775,0.20578810020876828,Low Risk
2,74.96855463008329,49.957540421362076,2.682876041156296,20.186183243508086,17.687408133268008,0.19548750612444882,Low Risk
3,74.79554222888557,50.565552223888055,2.8006196901549227,19.04047976011994,16.891554222888555,0.19047226386806596,Low Risk
4,74.93487524950099,49.78973552894212,2.78813872255489,20.60878243512974,18.6626746506986,0.20900948103792416,Low Risk
5,74.97027900146843,49.224865394028384,2.7458051884483603,20.94958394517866,18.45325501713167,0.2012922173274596,Low Risk
6,74.88486556359875,49.99588934850052,2.7191623578076523,20.837642192347467,18.665977249224404,0.20885987590486038,Low Risk
7,74.9760407124682,49.85802035623409,2.7690687022900766,19.287531806615775,17.353689567430024,0.19781679389312976,Low Risk
8,74.99908490086426,50.01225724453482,2.7791001525165226,19.166243009659382,17.234367056431115,0.1937874936451449,Low Risk
9,75.28093922651934,50.422847815168254,2.747538925163235,20.542440984429934,18.68407835258664,0.20294073329984932,Low Risk
10,75.2442878338279,50.31986152324431,2.7312265084075174,18.051434223541047,16.271018793273985,0.19009891196834816,Low Risk
11,75.57341363403384,50.0774525884162,2.7747514095335726,18.554587391081498,17.06817016914403,0.19582265504869298,Low Risk
12,74.63712020460359,49.50596930946291,2.720153452685422,19.18158567774936,17.28900255754476,0.19584143222506395,Low Risk
13,75.06342156862745,50.41588725490196,2.7310686274509806,19.06862745098039,16.96078431372549,0.19092892156862745,Low Risk
14,74.9060741885626,50.393848531684704,2.716306027820711,19.21689850592478,17.156105100463677,0.1944925296239052,Low Risk
15,74.85177602368032,50.18980759743464,2.774208189442526,20.12826837691169,17.168228909718795,0.19718302910705476,Low Risk
16,75.06508457711443,50.11420895522388,2.769273631840796,19.0547263681592,17.213930348258707,0.1924402985074627,Low Risk
17,75.13111111111111,49.876424065987386,2.7188694808345466,19.40805434255216,16.98204754973314,0.1944784085395439,Low Risk
18,75.03001477104874,50.04429837518464,2.749419005416051,19.84244214672575,17.725258493353028,0.20268340718857705,Low Risk
19,74.55469560878242,50.32341317365269,2.774555888223553,17.864271457085827,15.868263473053892,0.18705089820359283,Low Risk
20,74.95655837563453,49.87856345177665,2.7113299492385785,18.47715736040609,15.685279187817258,0.1815456852791878,Low Risk
21,74.7069298245614,50.65700779727095,2.776023391812865,18.421052631578945,16.61793372319688,0.191937134502924,Low Risk
22,74.73527818808469,50.35881339241753,2.805918266863614,19.596258000984736,17.479074347612013,0.19380354505169867,Low Risk
23,74.78594168260038,49.98023900573614,2.7333030592734224,19.407265774378583,17.638623326959845,0.19698613766730402,Low Risk
24,74.93013608870969,49.88266129032258,2.7582358870967743,21.068548387096776,18.548387096774192,0.2047303427419355,Low Risk
25,75.25921421421421,49.71352852852853,2.7460460460460463,18.96896896896897,16.616616616616618,0.1913938938938939,Low Risk
26,75.18062166100049,50.29139873725109,2.8095337542496357,20.49538610976202,18.115590092277806,0.2032442933462846,Low Risk
27,75.25048032703117,50.30020950434338,2.7263515585079205,19.26417986714359,17.52682677567706,0.19640521205927441,Low Risk
28,75.2727392578125,50.01708984375,2.7667236328125,20.361328125,18.408203125,0.20673828125,Low Risk
